"gene","importance","Non-unique Gene name","Annotation"
"ntdB",0.000592061644906439,";ntdB","hypothetical protein;Kanosamine-6-phosphate phosphatase"
"yeeW",0.000586863925174153,"yeeW;","Protein YeeW;hypothetical protein"
"dapH_2",0.000586784275064201,"dapH_2","2345-tetrahydropyridine-26-dicarboxylate N-acetyltransferase"
"group_30067",0.000586461162372931,"","hypothetical protein"
"trkG~~~rrrD_2~~~rrrD_1~~~rrrD_3~~~rrrD_6~~~rrrD~~~trkG_2~~~trkG_1",0.000584835105199133,"trkG;rrrD_2;rrrD_1;rrrD_3;;rrrD_6;rrrD;trkG_2;trkG_1","Trk system potassium uptake protein TrkG;Lysozyme RrrD;hypothetical protein"
"group_3788",0.000584379581413552,"","hypothetical protein"
"group_9805",0.000582756893593994,"","hypothetical protein"
"group_9163",0.000581476627162569,"","hypothetical protein"
"yehB_4~~~yehB_3~~~yehB~~~yehB_2~~~yehB_1",0.000580964649341098,"yehB_4;yehB_3;yehB;yehB_2;yehB_1;","Outer membrane usher protein YehB;hypothetical protein"
"group_27757",0.000580207783694386,"","hypothetical protein"
"group_27454",0.000577416386479457,"","IS4 family transposase ISVsa5"
"group_1820",0.000574099525559424,"","hypothetical protein"
"psiB_2~~~psiB_1~~~psiB~~~psiB_3",0.000572813213810086,"psiB_2;psiB_1;psiB;psiB_3;","Protein PsiB;hypothetical protein"
"intA_7~~~intA_1~~~intA_5~~~intS_2~~~intA_4~~~intS_1~~~intA_2~~~intA_6~~~intS_4~~~intA_3~~~intS_3~~~intS_5",0.000570649173984528,"intA_7;intA_1;;intA_5;intS_2;intA_4;intS_1;intA_2;intA_6;intS_4;intA_3;intS_3;intS_5","Prophage integrase IntA;hypothetical protein;Prophage integrase IntS"
"group_35153",0.000568745728287023,"relE;relE_1;relE_2","mRNA interferase toxin RelE"
"group_8876",0.000568136662965957,"","hypothetical protein"
"yeeJ_3~~~yeeJ_4~~~yeeJ_1~~~yeeJ_5~~~yeeJ_2~~~yeeJ~~~air",0.000568136662965957,"yeeJ_3;yeeJ_4;yeeJ_1;yeeJ_5;yeeJ_2;;yeeJ;air","Inverse autotransporter adhesin YeeJ;hypothetical protein;inverse autotransporter adhesin EaeX/Air"
"group_4761",0.000567828687072836,"","hypothetical protein"
"group_5459",0.00056535334329344,"","hypothetical protein"
"hin_2~~~hin_1~~~hin_4",0.000564241348062877,"hin_2;hin_1;hin_4","DNA-invertase hin"
"menE_2~~~pchD~~~dhbE",0.000563109555100083,"menE_2;pchD;dhbE;","2-succinylbenzoate--CoA ligase;Pyochelin synthase PchD;23-dihydroxybenzoate-AMP ligase;hypothetical protein"
"group_6030",0.00056251824072362,"","hypothetical protein"
"group_2717",0.000559212407963749,"","hypothetical protein"
"repB",0.000559186130100642,"repB;","RepFIB replication protein A;hypothetical protein"
"csy1~~~csy1_1~~~csy1_2",0.000558090239409004,"csy1;csy1_1;csy1_2","CRISPR-associated protein Csy1"
"group_8597",0.000557768735134023,"","hypothetical protein"
"group_6432",0.000556852685465015,"","hypothetical protein"
"group_34910",0.000555253220799745,"","hypothetical protein"
"ntdC",0.000554111068534757,";ntdC","hypothetical protein;Glucose-6-phosphate 3-dehydrogenase"
"gspS2~~~sslE~~~sslE_2~~~sslE_1",0.000553112144019541,";gspS2;sslE;sslE_2;sslE_1","hypothetical protein;Pilotin AspS 2;lipoprotein metalloprotease SslE"
"group_3578",0.00055237585633594,"","hypothetical protein"
"group_2923",0.000551000208830477,"","hypothetical protein"
"traY~~~traY_2",0.000547423218583587,"traY;traY_2","Relaxosome protein TraY"
