"gene","importance","Non-unique Gene name","Annotation"
"group_5318",8.0338134019214e-05,"","hypothetical protein"
"group_27756",8.00335374843826e-05,"","hypothetical protein"
"group_1741",7.93998567644627e-05,"","hypothetical protein"
"group_32645",7.72998988746649e-05,"","hypothetical protein;IS21 family transposase ISEc12"
"ccdA~~~ccdA_1",7.70070385256008e-05,"ccdA;ccdA_1","Antitoxin CcdA"
"macB_2",7.65348855553718e-05,";macB_2","hypothetical protein;Macrolide export ATP-binding/permease protein MacB"
"papH_1~~~papH",7.59354904060059e-05,"papH_1;papH","PAP fimbrial minor pilin protein"
"bshA~~~bshA_2",7.5557031007291e-05,"bshA;;bshA_2","N-acetyl-alpha-D-glucosaminyl L-malate synthase;hypothetical protein"
"group_1107",7.52925539234652e-05,"","hypothetical protein"
"group_7627",7.50579919726291e-05,"","hypothetical protein"
"group_11236",7.42868972117956e-05,"","hypothetical protein"
"repE~~~repE_2~~~repE_1",7.39865006130713e-05,"repE;;repE_2;repE_1","Replication initiation protein;hypothetical protein"
"group_3754",7.39228301455923e-05,"","hypothetical protein"
"group_32650",7.37863930408647e-05,"","hypothetical protein"
"group_7365",7.32304463905451e-05,"","hypothetical protein"
"ptlH",7.27103645563343e-05,"ptlH;","Type IV secretion system protein PtlH;Type IV secretion system protein VirB11"
"group_10671",7.25500162237884e-05,"","hypothetical protein"
"group_1759",7.17127933135866e-05,"","hypothetical protein"
"group_3715",7.16091596869133e-05,"","hypothetical protein"
"group_1563",7.12428302909025e-05,"","hypothetical protein"
"pgaB_2~~~icaB_1~~~icaB",7.11789807910581e-05,";pgaB_2;icaB_1;icaB","hypothetical protein;Poly-beta-16-N-acetyl-D-glucosamine N-deacetylase"
"dcuD_1~~~dcuD_2~~~dcuD",7.10435491383328e-05,"dcuD_1;dcuD_2;dcuD;","Putative cryptic C4-dicarboxylate transporter DcuD;hypothetical protein"
"lsrF_1~~~lsrF~~~lsrF_2",7.06643086346599e-05,"lsrF_1;lsrF;lsrF_2","3-hydroxy-5-phosphonooxypentane-24-dione thiolase"
"group_5530",7.05487014470125e-05,"","hypothetical protein"
"group_9327",7.02394692566188e-05,"","hypothetical protein"
"rafR",6.99785552847465e-05,"rafR","HTH-type transcriptional regulator RafR"
"group_10588",6.99063375984255e-05,"","hypothetical protein"
"group_4343",6.97845334483116e-05,"","hypothetical protein"
"group_3578",6.89337169798885e-05,"","hypothetical protein"
"group_10684",6.88571568971852e-05,"","hypothetical protein"
"mcpQ~~~aer_2~~~ctpM~~~aer~~~aer_1~~~aer_3",6.87968253627591e-05,";mcpQ;aer_2;ctpM;aer;aer_1;aer_3","hypothetical protein;Methyl-accepting chemotaxis protein McpQ;Methyl-accepting chemotaxis protein Aer;Methyl-accepting chemotaxis protein CtpM;IS66 family transposase ISPsy43"
"silP_1~~~silP~~~silP_2~~~silP_3",6.86966153990911e-05,"silP_1;silP;;silP_2;silP_3","Silver exporting P-type ATPase;Ag(+)-translocating P-type ATPase SilP;hypothetical protein"
"ylpA_2~~~ylpA_1~~~ylpA_3~~~ylpA",6.83995015032539e-05,"ylpA_2;;ylpA_1;ylpA_3;ylpA","Lipoprotein YlpA;hypothetical protein"
"ttgR",6.82658631498936e-05,";ttgR","hypothetical protein;HTH-type transcriptional regulator TtgR"
"group_10070",6.82295088781273e-05,"","hypothetical protein"
"group_7634",6.81030795391e-05,"","hypothetical protein"
"group_1194",6.80982813273621e-05,"","hypothetical protein"
"group_10691",6.80678995206492e-05,"","hypothetical protein;Type IV secretion system protein virB10"
"group_7374",6.78944668774546e-05,"","hypothetical protein"
"group_7076",6.78415575718951e-05,"","hypothetical protein"
"group_10629",6.7833877119891e-05,";bin3;bin3_1","hypothetical protein;Putative transposon Tn552 DNA-invertase bin3"
"prsF~~~papF",6.7684209273833e-05,"prsF;papF","Minor fimbrial protein PrsF;Fimbrial adapter PapF"
"group_8263",6.7179337461154e-05,"","hypothetical protein"
"group_6984",6.71248507386002e-05,"","hypothetical protein"
"group_9450",6.69391075087096e-05,"","hypothetical protein"
"group_17698",6.67633843165574e-05,"","hypothetical protein"
"atzF",6.66292629278007e-05,"atzF","Allophanate hydrolase"
"group_2814",6.6023075864444e-05,"","hypothetical protein"
